" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Sun Nov  1 22:45:13 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 167 , 759  , 911  
 Last Row , 1 , 164 , 756 , 906 , 1500 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
    21,    18,  6.31339e+01,  1.37549e-02,  2.45500e+00,  6.34148e-04, -1.21728e+02,  2.22811e-01,
    21,    22, -6.21796e+01, -1.37549e-02, -2.45500e+00, -6.34148e-04, -1.72848e+02,  1.50374e+00,
    22,    22,  2.99407e+01,  9.15396e-03,  1.08592e+00, -9.22257e-03, -5.03570e+01,  5.97668e-02,
    22,    26, -2.89864e+01, -9.15396e-03, -1.08592e+00,  9.22257e-03, -7.93102e+01,  1.06322e+00,
    23,     3,  5.62421e+02, -3.98591e+00, -8.18161e-02,  1.14597e-01, -1.47052e+01,  4.06061e+01,
    23,    30, -5.62103e+02,  3.98591e+00,  8.18161e-02, -1.14597e-01,  1.76906e+01, -1.98817e+02,
    24,    30,  5.11214e+02,  2.10648e-01,  2.79920e+00,  8.85759e-03, -5.42027e+01, -2.90489e+02,
    24,    31, -5.10896e+02, -2.10648e-01, -2.79920e+00, -8.85759e-03, -5.89604e+01,  2.98017e+02,
    25,    31,  4.60116e+02,  3.23311e-01, -8.11036e-01,  9.24634e-03,  4.19257e+01,  1.80734e+02,
    25,    34, -4.59480e+02, -3.23311e-01,  8.11036e-01, -9.24634e-03,  2.35345e+01, -1.54867e+02,
    26,    34,  4.08716e+02, -1.27574e-01,  2.37749e+00, -4.33430e-03, -4.78501e+01, -3.17821e+02,
    26,    35, -4.08398e+02,  1.27574e-01, -2.37749e+00,  4.33430e-03, -4.75791e+01,  3.12861e+02,
    27,    35,  3.57694e+02, -6.57278e-02, -1.09787e+00,  8.59273e-03,  3.94766e+01,  1.53886e+02,
    27,    38, -3.57058e+02,  6.57278e-02,  1.09787e+00, -8.59273e-03,  4.92419e+01, -1.58922e+02,
    28,    38,  3.06469e+02,  1.68747e-01,  3.40532e+00, -1.24097e-03, -6.99256e+01, -3.03353e+02,
    28,    39, -3.06151e+02, -1.68747e-01, -3.40532e+00,  1.24097e-03, -6.69024e+01,  3.10327e+02,
    29,    39,  2.55625e+02, -1.91196e-01, -1.45187e+00,  3.61976e-03,  5.68377e+01,  1.46877e+02,
    29,    42, -2.54989e+02,  1.91196e-01,  1.45187e+00, -3.61976e-03,  5.98773e+01, -1.61896e+02,
    30,    42,  2.04561e+02, -1.02085e+00,  4.09670e+00, -2.75570e-02, -7.75026e+01, -2.91076e+02,
    30,    43, -2.04243e+02,  1.02085e+00, -4.09670e+00,  2.75570e-02, -8.68623e+01,  2.50570e+02,
    31,    43,  1.53842e+02,  1.90726e+00, -1.57362e+00,  3.32066e-02,  7.99258e+01,  2.00022e+02,
    31,    46, -1.53206e+02, -1.90726e+00,  1.57362e+00, -3.32066e-02,  4.67556e+01, -4.63761e+01,
