" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example C: a tetrahedral frame - static and dynamic analysis (in  kip)               "
" Sun Nov  1 22:45:12 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 37 , 135  , 157  
 Last Row , 1 , 34 , 132 , 152 , 252 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,      8.47584e-05, -2.15617e-03, -3.32889e-03,
     2,  1.69815e-01, -9.03586e-02, -4.80406e-02, -1.39893e-03,  6.05982e-04, -4.78752e-03,
     3,    0.0,        0.0,        0.0,     -8.93388e-04, -6.74000e-04, -2.60327e-03,
     4, -6.55601e-02, -5.20460e-01,  2.01810e-01, -3.17420e-03, -7.93004e-04, -2.71845e-03,
     5,  9.65873e-02, -5.55052e-01, -1.12018e-01, -3.41665e-03,  1.12460e-04, -2.26227e-03,
     6, -2.83419e-03, -2.26473e-01,  5.42664e-02, -2.67660e-03, -3.06864e-04, -2.04851e-03,
     7, -2.56409e-02, -6.67433e-01,  2.30696e-01, -3.06381e-03, -2.25121e-04, -6.34711e-04,
     8,  2.28610e-02, -6.66269e-01, -7.27481e-02, -3.10507e-03, -1.88365e-04, -6.09571e-04,
    10, "min",   -100.318,       5.770,      0.691,      5.206,    -35.075,   -254.275
    11, "max",      4.770,       0.838,      0.743,      1.948,     16.152,     32.545
    11, "min",      4.487,       0.838,      0.601,      1.948,    -57.246,    -61.564
    12, "max",     -2.270,       0.070,      0.105,      4.200,     14.618,     -3.193
    12, "min",     -2.836,       0.070,     -0.178,      4.200,      7.782,    -10.829
    13, "max",    115.766,       1.172,     -0.559,      0.635,     17.329,    189.997
    13, "min",    115.766,       1.172,     -0.842,      0.635,    -56.083,     55.737
    14, "max",   -213.806,      57.300,      1.208,      1.792,     63.357,    553.645
    14, "min",   -213.806,     -52.700,      0.925,      1.792,    -51.702,   -926.869
    15, "max",    -19.773,      -0.214,      0.286,     -1.406,     -0.847,     92.142
    15, "min",    -19.773,      -0.214,     -0.281,     -1.406,     -8.300,     67.943
    16, "max",     18.748,       0.137,     -0.211,      6.659,     13.900,     55.980
    16, "min",     18.464,       0.137,     -0.528,      6.659,    -38.288,     37.529
    17, "max",     -7.298,       0.099,      0.571,      5.743,     28.984,     38.839
    17, "min",     -7.582,       0.099,      0.254,      5.743,    -34.818,     23.147
    18, "max",   -166.425,       1.832,      0.610,      1.937,      0.965,    198.136
    18, "min",   -166.425,       1.832,     -0.191,      1.937,    -24.472,    -33.429
    19, "max",      3.374,       0.886,      0.297,      0.211,      4.725,     45.825
    19, "min",      3.374,       0.886,      0.014,      0.211,    -11.841,    -42.907
    20, "max",      5.199,       1.022,      0.085,     -0.236,     -4.096,     55.564
    20, "min",      4.915,       1.022,     -0.056,     -0.236,     -6.152,    -58.812
    21, "max",     -1.022,      -0.374,      0.081,     -0.070,      5.846,     18.858
    21, "min",     -1.588,      -0.374,     -0.202,     -0.070,     -2.550,    -22.957
    22, "max",    116.278,      -1.672,      1.221,     -1.538,     38.043,    187.256
    22, "min",    116.278,      -1.672,      0.938,     -1.538,    -65.873,     20.241
    23, "max",   -325.930,      50.490,     -0.172,     -1.986,     11.242,    557.318
    23, "min",   -325.930,     -59.510,     -0.455,     -1.986,    -17.193,  -1040.759
    24, "max",      0.417,       0.591,      1.094,     -0.952,     27.334,    104.718
    24, "min",      0.417,       0.591,      0.527,     -0.952,    -53.703,     45.644
    25, "max",    -17.089,      -0.139,      0.420,     -6.076,     15.172,     50.462
    25, "min",    -17.372,      -0.139,      0.104,     -6.076,    -28.261,     25.119
    26, "max",     -8.713,      -1.038,      0.354,     -1.653,      5.944,    144.402
    26, "min",     -8.713,      -1.038,     -0.046,     -1.653,    -18.838,     -2.509
    27, "max",     -2.053,      -0.277,      0.623,      2.856,     10.307,     59.045
    27, "min",     -2.619,      -0.277,     -0.010,      2.856,    -36.279,     18.144
    28, "max",    -99.562,      -1.323,      0.801,     -1.871,     10.893,     72.877
    28, "min",    -99.562,      -1.323,      0.518,     -1.871,    -22.334,    -49.064
    29, "max",      2.268,       1.757,      0.560,     -3.826,     16.145,     93.990
    29, "min",      1.985,       1.757,      0.418,     -3.826,    -37.677,   -102.318
    30, "max",     -2.670,      -0.492,      0.426,     -2.416,     19.065,     19.011
    30, "min",     -3.237,      -0.492,      0.142,     -2.416,    -11.666,    -35.898
    31, "max",    -17.506,       2.992,     -0.049,      8.738,    -32.235,    273.353
    31, "min",    -17.506,       2.992,     -0.333,      8.738,    -52.936,    -30.523
    32, "max",   -322.809,      59.244,      1.993,     10.256,     89.806,    555.264
    32, "min",   -322.809,     -50.756,      1.709,     10.256,   -114.880,  -1086.198
